rooms,area,city,private_offer,year,total_price,zmywarka,balkon,piwnica,telewizor,monitoring,oddzielna_kuchnia,garaz,teren_zamkniety,klimatyzacja,taras
2,36,Wrocław,1,1970.0,2242,1,1,1,0,1,0,0,0,0,0
1,31,Wrocław,1,2018.0,2055,1,1,0,1,1,1,0,0,0,0
1,28,Wrocław,0,2018.0,2050,0,1,0,0,1,0,1,0,0,0
1,35,Wrocław,0,1910.0,1600,0,0,1,0,0,1,0,0,0,0
1,24,Wrocław,0,2018.0,1900,0,1,0,0,0,0,0,0,0,0
2,44,Wrocław,0,2019.0,2850,1,1,0,1,0,0,0,0,0,0
2,53,Wrocław,1,2007.0,2795,1,1,0,1,0,0,1,0,0,0
2,36,Wrocław,0,2020.0,2150,0,1,0,1,1,0,0,1,0,0
2,60,Wrocław,0,2010.0,2500,0,0,0,0,0,0,1,0,0,0
2,38,Wrocław,1,2011.0,1900,0,1,0,0,0,0,0,0,0,0
3,64,Wrocław,1,2007.0,3200,1,1,1,0,0,0,1,1,0,0
2,45,Wrocław,1,2013.0,2500,1,1,0,0,1,0,0,1,0,0
2,55,Wrocław,1,2018.0,4500,1,1,0,1,1,0,0,1,0,0
2,48,Wrocław,1,2018.0,2700,1,1,1,1,1,1,1,1,0,0
3,58,Wrocław,1,2009.0,2740,1,1,0,1,0,0,1,1,0,0
2,49,Legnica,0,1980.0,1500,0,1,1,0,0,0,0,0,0,0
2,34,Wrocław,0,1980.0,2100,0,1,1,0,0,1,0,0,0,0
2,50,Wrocław,1,2004.0,2360,1,1,1,1,0,0,1,0,0,1
2,33,Wrocław,1,2014.0,1950,0,1,1,1,0,0,1,1,0,0
1,40,Wrocław,1,1950.0,2100,1,0,1,1,0,0,1,0,0,0
2,46,Wrocław,1,2020.0,2750,1,1,0,1,1,1,1,1,0,1
2,36,Wrocław,1,2020.0,2100,0,1,1,0,0,0,1,1,0,0
2,38,Wrocław,1,2019.0,2700,1,1,0,1,1,0,1,1,1,1
3,44,Wrocław,0,1962.0,1801,0,0,1,0,0,0,0,0,0,0
2,54,Wrocław,0,2002.0,3380,1,1,0,1,0,0,0,0,0,1
3,75,Wrocław,1,2009.0,3150,1,1,1,0,1,1,1,0,0,0
3,65,Wrocław,1,2008.0,2790,1,1,1,1,1,0,1,1,0,1
1,36,Wrocław,1,2000.0,1809,0,1,1,1,1,1,1,1,0,0
2,56,Wrocław,1,2015.0,2800,1,0,0,1,0,0,1,0,0,1
2,38,Wrocław,1,2016.0,2800,1,1,0,1,1,0,0,0,0,0
2,49,Wrocław,1,2016.0,2650,1,1,1,1,1,1,1,1,0,0
2,54,Wrocław,1,2020.0,2861,1,1,0,0,0,1,0,0,0,0
1,20,Wrocław,1,1960.0,1100,0,0,0,0,0,0,0,0,0,0
2,41,Wrocław,1,2020.0,2050,1,1,0,0,0,1,1,0,0,0
3,95,Wrocław,0,2011.0,4500,0,0,0,0,0,0,0,0,0,0
2,55,Wrocław,1,2007.0,2800,1,1,0,1,1,0,1,1,0,0
3,65,Wrocław,0,2020.0,3490,0,1,0,0,0,0,1,1,1,0
2,64,Wrocław,1,2020.0,3700,1,1,1,1,0,0,1,0,1,0
1,33,Wrocław,1,2004.0,2700,0,0,1,0,1,0,0,1,0,0
2,38,Wrocław,0,2016.0,2100,0,1,0,0,0,0,1,0,0,0
2,57,Wrocław,1,1932.0,2200,0,0,1,0,0,1,0,0,0,0
2,40,Wrocław,1,2014.0,2350,1,1,0,1,1,0,1,1,0,0
3,48,Wrocław,0,1975.0,2500,1,0,0,0,0,0,0,0,0,0
3,48,Wrocław,0,2016.0,2200,1,1,0,1,0,0,1,0,0,0
3,134,Wrocław,0,2013.0,9000,0,0,0,0,1,0,0,0,1,1
1,26,Wrocław,0,2013.0,2050,0,0,0,0,0,0,0,0,0,0
2,56,Wrocław,0,2013.0,2850,0,1,0,0,0,0,1,0,0,0
2,51,Wrocław,0,2019.0,2750,0,1,0,0,0,0,0,0,0,0
2,50,Wrocław,0,2018.0,2099,0,0,0,0,0,0,0,0,0,0
2,41,Wrocław,0,2020.0,2550,0,1,0,0,1,0,1,0,0,0
2,55,Wrocław,1,2020.0,2650,1,1,0,1,1,1,0,0,0,0
2,48,Wrocław,1,2019.0,2340,1,1,0,0,1,0,1,1,0,0
3,63,Wrocław,1,2012.0,2758,1,1,1,1,1,0,0,1,0,0
3,65,Wrocław,1,2017.0,3300,1,1,0,1,1,1,1,1,0,0
2,40,Wrocław,1,2019.0,2350,1,1,0,0,0,1,1,1,0,0
2,38,Wrocław,0,2010.0,2100,0,1,1,0,1,0,0,1,0,0
1,38,Wrocław,0,2011.0,1800,1,0,0,1,1,0,0,0,0,0
3,64,Wrocław,1,1992.0,3208,1,1,0,1,0,1,0,1,0,0
2,46,Wrocław,0,2010.0,2150,1,1,0,0,0,0,1,1,0,0
1,25,Wrocław,1,2018.0,1700,0,1,0,0,0,0,0,0,0,0
1,26,Wrocław,1,2020.0,2050,1,1,0,1,1,0,0,1,0,0
2,52,Wrocław,1,2015.0,2700,1,1,0,0,1,0,1,1,0,0
2,36,Wrocław,1,1910.0,2500,1,0,0,1,0,1,0,0,0,0
3,52,Wrocław,1,2012.0,2700,1,1,0,0,1,0,0,1,0,0
1,28,Wrocław,0,2016.0,2000,1,1,0,1,1,0,1,0,1,0
2,54,Wrocław,0,1993.0,2340,0,0,1,0,0,1,0,0,0,0
4,110,Wrocław,0,2008.0,6901,0,1,0,0,0,0,1,0,1,1
2,50,Wrocław,1,1958.0,2299,1,0,1,1,0,1,0,0,1,0
2,38,Wrocław,1,2019.0,2230,1,1,0,1,1,0,1,1,0,0
3,66,Wrocław,1,2012.0,3000,1,1,0,0,0,0,1,0,0,0
2,34,Wrocław,1,2015.0,2280,1,0,0,1,0,0,0,0,0,0
2,45,Wrocław,0,2020.0,3200,0,0,0,0,0,1,1,0,1,1
3,70,Wrocław,0,2010.0,2900,1,1,0,0,1,1,1,0,0,1
2,43,Wrocław,1,2004.0,2550,1,1,1,0,0,0,1,0,1,0
2,55,Wrocław,1,1970.0,2400,0,1,0,1,0,1,1,1,0,0
2,36,Wrocław,0,2000.0,1450,0,1,1,0,0,0,0,0,0,0
1,35,Wrocław,0,2001.0,1550,0,0,1,0,0,1,0,1,0,0
2,51,Lubin,1,1981.0,1510,1,1,0,1,0,1,0,0,0,0
2,50,Wrocław,0,1960.0,2736,0,0,0,0,0,0,0,0,0,0
2,44,Wrocław,1,1955.0,2250,0,1,1,0,0,1,1,0,0,0
2,47,Wrocław,1,1998.0,2022,0,0,0,1,0,0,0,0,0,0
1,50,Wrocław,1,2001.0,2133,0,1,0,0,0,1,0,0,0,0
3,60,Wrocław,0,2009.0,2600,0,1,0,0,0,0,1,0,0,0
3,68,Wrocław,0,1970.0,3080,0,1,0,0,0,1,0,0,0,0
2,40,Wrocław,0,2012.0,2500,0,1,0,0,0,0,0,0,0,0
2,50,Wrocław,0,2019.0,2550,0,1,0,0,0,0,1,0,0,0
1,28,Wrocław,0,2016.0,2000,1,1,0,1,0,0,1,0,0,1
3,50,Wrocław,0,2019.0,2650,0,1,0,0,0,0,1,0,0,0
2,48,Wrocław,1,1995.0,1910,1,1,0,0,0,1,0,0,0,0
2,40,Wrocław,0,2020.0,2650,0,1,0,0,0,0,1,0,0,0
2,40,Wrocław,1,2019.0,2250,1,0,1,1,0,0,1,1,0,1
2,34,Wrocław,1,2019.0,2350,1,0,0,1,0,0,0,0,0,0
1,31,Wrocław,0,2017.0,1958,1,1,0,1,1,0,0,1,0,0
1,38,Wrocław,1,1910.0,1600,1,0,0,1,0,1,0,0,1,0
2,48,Wrocław,0,2017.0,2200,1,1,0,0,0,0,0,1,0,0
2,56,Wrocław,1,2015.0,2800,1,0,0,1,0,0,1,0,0,1
2,45,Wrocław,1,2016.0,2100,1,1,0,0,0,1,1,0,0,0
2,48,Wrocław,0,2017.0,2853,1,1,0,0,1,1,0,1,0,0
1,27,Wrocław,0,1940.0,1800,0,0,1,1,0,0,0,0,0,0
2,55,Wrocław,0,2013.0,2620,1,1,0,1,1,1,1,1,1,0
2,49,Wrocław,0,2019.0,2100,1,1,0,0,1,1,1,0,0,0
3,58,Wrocław,0,2020.0,2700,1,1,0,1,1,0,1,0,0,0
2,45,Wrocław,0,2019.0,3550,1,1,0,1,0,0,1,0,1,1
1,33,Wrocław,0,2015.0,1970,1,1,0,1,0,0,1,0,0,0
2,41,Wrocław,1,2019.0,2250,1,1,0,1,1,0,1,1,0,0
1,31,Wrocław,1,2018.0,1800,0,0,0,1,0,0,0,1,0,0
1,28,Wrocław,1,2019.0,1498,0,1,0,1,0,0,0,0,0,0
2,37,Wrocław,1,1965.0,2100,1,1,0,1,0,0,1,0,0,0
1,40,Wrocław,1,1980.0,1710,0,0,1,0,0,1,1,1,0,0
3,84,Wrocław,0,2008.0,3400,0,1,0,0,0,0,1,0,1,0
4,98,Wrocław,0,1996.0,4001,0,1,0,0,0,1,0,0,1,0
2,42,Wrocław,0,2009.0,2200,0,1,0,0,0,0,1,1,0,0
1,27,Wrocław,0,2020.0,2200,0,0,0,1,1,0,1,0,1,0
1,24,Wrocław,0,2020.0,1900,0,0,0,1,1,0,1,0,1,0
2,45,Wrocław,1,2009.0,2350,0,1,1,0,1,0,1,0,0,0
2,34,Wrocław,1,2020.0,2110,0,0,0,0,1,0,0,1,0,0
2,36,Wrocław,1,2014.0,2400,1,0,0,1,1,0,1,1,0,1
2,50,Wrocław,0,2014.0,3000,0,1,0,0,0,0,1,0,0,0
2,50,Wrocław,0,1992.0,2450,0,1,0,0,0,1,1,0,0,0
2,55,Wrocław,1,2013.0,2440,1,1,0,0,1,1,0,1,0,1
3,69,Wrocław,0,2012.0,3000,0,0,0,0,0,0,1,0,0,1
3,68,Wrocław,1,2018.0,3700,1,0,0,1,1,0,1,1,0,1
2,50,Wrocław,0,2018.0,2390,1,1,1,1,1,0,1,1,0,0
4,110,Wrocław,0,1909.0,6065,1,0,0,0,0,0,0,0,0,0
1,33,Wrocław,0,1906.0,2100,1,1,0,0,0,0,0,0,0,0
4,74,Wrocław,1,1992.0,3700,1,1,1,1,0,1,0,0,1,0
2,48,Wrocław,1,2018.0,2245,1,1,0,1,0,0,0,0,0,0
2,45,Wrocław,1,2010.0,2180,0,1,0,1,1,0,0,0,0,0
4,60,Wrocław,0,1980.0,2450,1,0,0,0,0,0,0,0,0,0
3,54,Wrocław,1,2012.0,2900,1,1,0,1,0,0,0,0,0,0
2,40,Wrocław,1,2020.0,2850,1,1,0,1,0,0,0,0,0,0
2,46,Wrocław,0,2010.0,2500,0,1,0,0,0,0,0,0,0,0
2,39,Wrocław,1,1940.0,2390,1,0,1,1,0,0,0,0,0,0
1,36,Wrocław,1,2016.0,1950,0,1,0,1,1,1,0,0,0,0
3,47,Wrocław,1,2020.0,2750,1,1,0,1,0,0,1,1,0,0
3,70,Wrocław,1,2004.0,2800,0,0,1,1,0,1,0,1,0,0
1,33,Wrocław,1,2016.0,2120,1,1,1,0,1,0,0,0,0,0
2,45,Wrocław,1,2016.0,2700,1,1,0,1,1,0,1,1,0,0
2,52,Wrocław,1,2016.0,2900,1,1,0,1,1,0,1,0,0,0
3,71,Wrocław,0,2008.0,3000,0,0,0,0,0,0,1,1,0,1
1,25,Wrocław,0,2008.0,1560,0,0,0,0,0,0,1,0,0,0
1,29,Wrocław,1,2020.0,1920,1,1,0,0,0,1,0,0,0,0
2,45,Wrocław,0,1956.0,1920,0,1,0,0,0,1,0,0,0,0
3,102,Wrocław,0,2014.0,8001,0,0,0,0,1,0,1,0,0,0
2,40,Wrocław,1,2017.0,2700,1,1,0,1,0,0,0,0,0,0
3,50,Wrocław,1,1995.0,2971,0,0,0,1,1,0,0,0,0,0
2,51,Wrocław,0,2020.0,2500,0,1,0,0,0,1,1,0,0,0
4,84,Wrocław,0,2018.0,4650,1,1,0,1,1,0,1,0,0,1
2,52,Lubin,1,1970.0,1970,0,1,0,1,0,0,0,0,0,0
3,67,Wrocław,1,2019.0,3700,1,1,0,0,1,1,1,0,0,1
2,48,Wrocław,1,2014.0,2500,1,1,0,0,1,1,1,1,0,0
2,48,Wrocław,1,2017.0,3000,1,1,0,1,1,1,1,1,0,0
2,42,Wrocław,1,2014.0,2098,0,1,0,1,1,0,1,1,0,0
1,35,Wrocław,0,1980.0,2050,0,1,1,0,1,0,1,0,0,0
3,65,Wrocław,1,2010.0,3250,1,1,0,1,1,1,0,1,0,1
2,42,Wrocław,1,2013.0,2220,1,0,0,0,1,0,0,1,0,0
2,45,Wrocław,1,2018.0,2550,1,1,0,0,0,0,1,1,0,0
2,36,Wrocław,0,2016.0,1910,0,1,0,0,1,0,1,1,0,0
2,51,Wrocław,0,2020.0,2550,1,0,0,1,0,0,1,0,0,1
3,57,Wrocław,0,2017.0,2299,1,0,0,1,0,0,0,0,0,0
2,50,Wrocław,0,2020.0,2300,1,1,0,1,1,0,1,0,0,0
1,36,Wrocław,0,2017.0,2200,0,1,0,0,0,0,0,0,0,0
1,35,Wrocław,1,2008.0,1800,0,1,0,0,0,0,0,0,0,0
3,72,Wrocław,0,1900.0,3000,1,0,0,0,0,1,0,0,0,0
2,49,Wrocław,1,2019.0,3400,1,0,0,1,0,0,0,0,0,0
3,60,Wrocław,1,2020.0,3250,1,1,0,0,0,0,0,0,0,0
3,60,Wrocław,1,1950.0,2800,1,0,0,1,0,0,0,0,0,0
2,38,Wrocław,1,2017.0,2450,1,1,0,1,1,0,1,1,0,1
3,98,Wrocław,0,2019.0,7750,1,1,1,1,0,0,1,0,1,1
2,40,Wrocław,1,2015.0,2000,0,0,0,1,1,1,0,1,0,1
2,44,Wrocław,0,2016.0,2000,0,0,0,0,0,0,0,0,0,0
2,42,Wrocław,0,2019.0,2500,0,0,0,0,1,0,0,1,0,1
2,57,Wrocław,0,2012.0,3000,0,0,0,0,1,0,0,0,0,1
2,60,Wrocław,0,2012.0,2500,0,0,0,0,0,0,0,0,0,1
1,19,Wrocław,0,2019.0,1300,0,0,0,0,1,0,0,0,0,0
1,18,Wrocław,0,2017.0,1200,0,0,0,0,0,0,0,0,1,0
2,47,Wrocław,0,2003.0,2200,0,1,0,0,0,0,0,0,0,0
2,55,Wrocław,1,2020.0,2750,1,0,0,0,0,0,1,1,0,0
1,35,Wrocław,0,2005.0,1400,0,1,0,0,0,1,0,0,0,0
1,31,Wrocław,0,2012.0,1400,0,0,0,0,0,0,0,0,0,0
2,37,Wrocław,0,1980.0,1800,0,0,0,0,0,0,0,0,0,0
2,48,Wrocław,0,1960.0,2350,0,1,1,0,0,1,0,0,0,0
2,45,Wrocław,0,2020.0,2200,0,1,0,0,0,1,0,0,0,0
2,48,Wrocław,0,1960.0,2350,0,1,1,0,0,1,0,0,0,0
3,65,Wrocław,0,2010.0,3109,1,0,1,0,0,0,1,0,0,1
1,23,Legnica,1,2015.0,1080,0,0,0,1,0,0,0,1,0,0
2,41,Wrocław,1,2019.0,2350,1,1,0,1,1,0,1,1,0,0
2,35,Wrocław,1,2018.0,2400,1,0,0,0,0,1,0,1,0,0
2,38,Wrocław,0,2020.0,2350,1,1,0,1,0,0,1,0,0,0
2,53,Wrocław,0,2016.0,3700,0,1,0,0,1,0,1,0,1,0
3,68,Wrocław,0,2019.0,5200,1,1,1,1,1,0,1,0,1,0
1,28,Wrocław,0,2012.0,1700,0,1,0,0,1,0,0,0,0,0
2,65,Wrocław,0,2018.0,4850,0,1,0,0,0,0,1,0,0,0
1,25,Wrocław,1,2019.0,1970,1,0,0,0,0,0,1,0,0,0
2,36,Wrocław,0,2019.0,1699,0,1,0,1,0,0,0,0,0,0
3,60,Wrocław,0,2008.0,2650,0,0,0,0,0,0,1,0,0,1
3,54,Wrocław,0,1983.0,2870,0,1,0,0,0,0,1,0,0,0
3,72,Wrocław,0,1900.0,3000,1,0,0,0,0,1,0,0,0,0
2,46,Wrocław,0,2009.0,2386,1,1,0,1,1,0,1,0,1,0
1,41,Wrocław,0,2020.0,2550,0,1,0,0,0,0,1,0,0,0
2,52,Wrocław,0,1997.0,2200,0,0,0,0,0,0,0,0,0,0
2,54,Wrocław,1,2007.0,2200,1,1,0,1,0,0,0,1,0,0
2,43,Wrocław,1,2013.0,2550,1,1,1,1,1,0,1,1,0,0
2,44,Wrocław,0,2015.0,3125,0,1,0,0,1,0,1,0,0,0
2,53,Wrocław,1,2006.0,2314,1,1,0,0,0,0,1,1,1,1
4,74,Wrocław,1,1992.0,3900,1,1,0,1,0,1,0,0,0,0
1,35,Wrocław,0,2016.0,1900,0,1,0,0,0,0,1,0,0,0
2,52,Wrocław,0,2016.0,2900,0,1,0,0,0,0,0,0,0,0
1,26,Wrocław,0,1970.0,1450,0,0,0,0,0,0,0,0,0,0
2,50,Wrocław,1,2004.0,2360,1,1,1,1,0,0,1,0,0,1
2,48,Wrocław,1,1970.0,2180,1,1,0,1,0,1,1,0,1,0
2,65,Wrocław,1,2007.0,2510,0,1,1,1,1,0,1,1,1,1
2,45,Wrocław,1,2014.0,2200,1,0,0,1,1,1,0,1,0,1
2,40,Wrocław,1,2018.0,2350,1,0,0,0,1,0,1,0,0,1
1,31,Wrocław,0,2001.0,1700,0,0,0,0,0,1,0,0,0,0
2,44,Wrocław,0,2012.0,1950,0,1,0,0,0,0,1,0,0,0
3,63,Legnica,1,2019.0,2420,1,1,0,1,1,0,0,1,1,0
1,35,Wrocław,0,2013.0,1740,1,1,0,0,0,1,0,0,0,0
2,42,Wrocław,1,2017.0,2400,1,1,0,1,0,0,1,1,0,0
2,50,Wrocław,0,2017.0,3000,0,1,0,1,1,0,1,0,0,0
1,31,Wrocław,1,2018.0,2050,1,1,0,1,0,0,1,0,0,1
1,40,Wrocław,0,2018.0,2150,1,1,0,0,1,0,0,1,0,0
3,85,Wrocław,1,2009.0,3600,1,1,0,0,0,1,1,1,0,1
2,48,Wrocław,0,1950.0,2360,0,0,0,0,0,1,0,0,0,0
1,37,Wrocław,0,2015.0,2000,0,1,0,0,0,0,1,0,0,0
